"No_";"Posting Date";"Currency Code";"Currency Factor";"Payment Discount _";"Sell-to Customer No_"
"FVV140799";"13-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1583"
"FVV140800";"13-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1509"
"FVV140801";"13-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1365"
"FVV140802";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43009095"
"FVV140803";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1330"
"FVV140804";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140805";"14-05-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140806";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140807";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140808";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140809";"14-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1606"
"FVV140810";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1566"
"FVV140811";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1568"
"FVV140812";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140813";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140814";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140815";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43087150"
"FVV140816";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099570"
"FVV140817";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1536"
"FVV140818";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI002"
"FVV140819";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1614"
"FVV140820";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1432"
"FVV140821";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43056210"
"FVV140822";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43090130"
"FVV140823";"15-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43064050"
"FVV140824";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099030"
"FVV140825";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099225"
"FVV140826";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1172"
"FVV140827";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1055"
"FVV140828";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1500"
"FVV140829";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1500"
"FVV140830";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1516"
"FVV140831";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1574"
"FVV140832";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43008200"
"FVV140833";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1585"
"FVV140834";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1594"
"FVV140835";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43046245"
"FVV140836";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1281"
"FVV140837";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI103"
"FVV140838";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43074050"
"FVV140839";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140840";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI004"
"FVV140841";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI108"
"FVV140842";"16-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099160"
"FVV140843";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140844";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1040"
"FVV140845";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43003350"
"FVV140846";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI430100804"
"FVV140847";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140848";"21-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1491"
"FVV140849";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1591"
"FVV140850";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43096010"
"FVV140851";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1568"
"FVV140852";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1495"
"FVV140853";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43077110"
"FVV140854";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1500"
"FVV140855";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140856";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140857";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV140858";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1566"
"FVV140859";"22-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140860";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140861";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1390"
"FVV140862";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43033250"
"FVV140863";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43028460"
"FVV140864";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1498"
"FVV140865";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1544"
"FVV140866";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1410"
"FVV140867";"23-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1071"
"FVV140868";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43015330"
"FVV140869";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1442"
"FVV140870";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43092120"
"FVV140871";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43060050"
"FVV140872";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV140873";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1357"
"FVV140874";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1615"
"FVV140875";"27-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1573"
"FVV140876";"27-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1571"
"FVV140877";"27-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1417"
"FVV140878";"27-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43088210"
"FVV140879";"27-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1432"
"FVV140880";"26-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1474"
"FVV140881";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1557"
"FVV140882";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140883";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV140884";"28-05-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140885";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140886";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1333"
"FVV140887";"28-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1375"
"FVV140888";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1017"
"FVV140889";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140890";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1577"
"FVV140891";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43008200"
"FVV140892";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43018300"
"FVV140893";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43017100"
"FVV140894";"29-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43036370"
